"Episode ID","IMDB Rating","IMDB Votes","Number in Season","Number in Series","Air Date","Air Year","Production Code","Season","Episode Title","US Views (in millions)","Views"
"157","7.7","1079","4","157","1996-11-17","1996","4F05","8","Burns, Baby Burns","12.6","55497"
"158","8.2","1098","5","158","1996-11-24","1996","4F06","8","Bart After Dark","14.1","60210"
"159","8","1008","6","159","1996-12-01","1996","4F04","8","A Milhouse Divided","12.8","60956"
"160","7.8","1005","7","160","1996-12-15","1996","4F01","8","Lisa's Date with Density","","60912"
"161","8.8","1268","8","161","1996-12-29","1996","4F07","8","Hurricane Neddy","","66281"
"162","8.5","1383","9","162","1997-01-05","1997","3F24","8","El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)","14.9","64743"
"163","9","1793","10","163","1997-01-12","1997","3G01","8","The Springfield Files","20.9","69555"
"164","7.8","998","11","164","1997-01-19","1997","4F08","8","The Twisted World of Marge Simpson","14","71813"
"165","8.6","1137","12","165","1997-02-02","1997","4F10","8","Mountain of Madness","9.1","60763"
"166","7.7","1088","13","166","1997-02-07","1997","3G03","8","Simpsoncalifragilisticexpiala(Annoyed Grunt)cious","17.7","57608"
"167","7.9","1079","14","167","1997-02-09","1997","4F12","8","The Itchy & Scratchy & Poochie Show","15.5","58581"
"168","8.9","1666","15","168","1997-02-16","1997","4F11","8","Homer's Phobia","15.3","63355"
"169","8.2","1100","16","169","1997-02-23","1997","4F14","8","Brother from Another Series","15.1","56659"
"170","8.1","1020","17","170","1997-03-02","1997","4F13","8","My Sister, My Sitter","15.1","54247"
"171","8.7","1330","18","171","1997-03-16","1997","4F15","8","Homer vs. the Eighteenth Amendment","14.6","83561"
"172","8.2","995","19","172","1997-04-06","1997","4F09","8","Grade School Confidential","13.3","60584"
"173","7.7","913","20","173","1997-04-13","1997","4F16","8","The Canine Mutiny","","54155"
"174","7.9","967","21","174","1997-04-20","1997","4F17","8","The Old Man and the Lisa","14","56833"
"175","8","973","22","175","1997-04-27","1997","4F18","8","In Marge We Trust","16.9","59088"
"176","9.2","2256","23","176","1997-05-04","1997","4F19","8","Homer's Enemy","11.8","74177"
"177","7.3","1006","24","177","1997-05-11","1997","4F20","8","The Simpsons Spin-Off Showcase","11.6","57926"
"178","7.8","967","25","178","1997-05-18","1997","4F21","8","The Secret War of Lisa Simpson","12.7","59196"
"179","9.1","1918","1","179","1997-09-21","1997","4F22","9","The City of New York vs. Homer Simpson","10.5","62962"
"180","7.4","1158","2","180","1997-09-28","1997","4F23","9","The Principal and the Pauper","14.9","48414"
"181","8.1","980","3","181","1997-10-19","1997","3G02","9","Lisa's Sax","12.9","20008"
"182","8.1","1019","4","182","1997-10-26","1997","5F02","9","Treehouse of Horror VIII","10.9","30963"
"183","8.2","1081","5","183","1997-11-02","1997","5F01","9","The Cartridge Family","10.3","30921"
"184","7.7","925","6","184","1997-11-09","1997","5F03","9","Bart Star","10.6","31033"
"185","7.7","905","7","185","1997-11-16","1997","5F04","9","The Two Mrs. Nahasapeemapetilons","11.4","19419"
"186","8","978","8","186","1997-11-23","1997","5F05","9","Lisa the Skeptic","9.3","22318"
"187","7.5","888","9","187","1997-12-07","1997","5F06","9","Realty Bites","10.6","25183"
"188","7.6","958","10","188","1997-12-21","1997","5F07","9","Miracle on Evergreen Terrace","9.6","19899"
"189","5.1","1119","11","189","1998-01-04","1998","5F24","9","All Singing, All Dancing","8.9","15780"
"190","7.7","938","12","190","1998-01-11","1998","5F08","9","Bart Carny","11.7","22426"
"191","8.2","1042","13","191","1998-02-08","1998","5F23","9","The Joy of Sect","9.4","27710"
"192","8.1","1036","14","192","1998-02-15","1998","5F11","9","Das Bus","9.6","32487"
"193","7.5","878","15","193","1998-02-22","1998","5F10","9","The Last Temptation of Krust","9.5","20298"
"194","7.6","887","16","194","1998-03-01","1998","5F12","9","Dumbbell Indemnity","10.3","21214"
"195","8","957","17","195","1998-03-08","1998","4F24","9","Lisa the Simpson","10.4","21608"
"196","7.8","906","18","196","1998-03-22","1998","5F13","9","This Little Wiggy","8.9","20739"
"197","8.3","1026","19","197","1998-03-29","1998","3G04","9","Simpson Tide","9","23127"
"198","7.9","949","20","198","1998-04-05","1998","5F14","9","The Trouble with Trillions","7.4","23426"
"199","7.9","905","21","199","1998-04-19","1998","5F15","9","Girly Edition","8.5","21811"
"200","8.5","1108","22","200","1998-04-26","1998","5F09","9","Trash of the Titans","10.2","26299"
"201","8.3","962","23","201","1998-05-03","1998","5F16","9","King of the Hill","9.2","60952"
"202","7.7","880","24","202","1998-05-10","1998","5F17","9","Lost Our Lisa","7.6","55316"
"203","8.1","931","25","203","1998-05-17","1998","5F18","9","Natural Born Kissers","8.6","53823"
"204","7.6","932","1","204","1998-08-23","1998","5F20","10","Lard of the Dance","7","56018"
"205","8.2","988","2","205","1998-09-20","1998","5F21","10","The Wizard of Evergreen Terrace","7.95","53216"
"206","7.5","899","3","206","1998-09-27","1998","5F22","10","Bart the Mother","7.35","43240"
"207","8","1013","4","207","1998-10-25","1998","AABF01","10","Treehouse of Horror IX","8.5","83169"
"208","7.3","934","5","208","1998-11-08","1998","5F19","10","When You Dish Upon a Star","9","43485"
"209","7.6","901","6","209","1998-11-15","1998","AABF02","10","D'oh-in' in the Wind","8.3","45779"
"210","8","909","7","210","1998-11-22","1998","AABF03","10","Lisa Gets an ""A""","8","50013"
"211","7.3","863","8","211","1998-12-06","1998","AABF04","10","Homer Simpson in: ""Kidney Trouble""","7.2","50300"
"212","8.2","975","9","212","1998-12-20","1998","AABF05","10","Mayored to the Mob","8.5","56762"
"213","7.8","928","10","213","1999-01-10","1999","AABF06","10","Viva Ned Flanders","11.5","56561"
"214","7.7","834","11","214","1999-01-17","1999","AABF07","10","Wild Barts Can't Be Broken","8.8","57693"
"215","6.9","880","12","215","1999-01-31","1999","AABF08","10","Sunday, Cruddy Sunday","11.5","50051"
"216","7.7","882","13","216","1999-02-07","1999","AABF09","10","Homer to the Max","8.3","55726"
"217","7.3","815","14","217","1999-02-14","1999","AABF11","10","I'm with Cupid","7.7","46822"
"218","7.3","831","15","218","1999-02-21","1999","AABF10","10","Marge Simpson in: ""Screaming Yellow Honkers""","8.6","52778"
"219","7.5","795","16","219","1999-02-28","1999","AABF12","10","Make Room for Lisa","7.6","53449"
"220","7.6","843","17","220","1999-03-28","1999","AABF13","10","Maximum Homerdrive","15.5","54195"
"221","7.3","851","18","221","1999-04-04","1999","AABF14","10","Simpsons Bible Stories","12.2","47155"
"222","7.6","831","19","222","1999-04-11","1999","AABF15","10","Mom and Pop Art","8.5","47851"
"223","7.3","779","20","223","1999-04-25","1999","AABF16","10","The Old Man and the ""C"" Student","6.9","47550"
